Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
8297138;14781985;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;15;1375
8296867;14780617;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1320
8296940;14781836;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1554
8296940;14781966;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;24;1110
8296940;14782410;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1610
8296169;14781702;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1345
8296169;14781868;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1320
8296169;14781981;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1278
8296391;14781095;1;31;pakettiauto;3;kevytperävaunu;-1;Ei arvoa;26;1585
8296641;14782343;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1275
8296641;14782403;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1615
8296641;14782432;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1440
8296641;14782471;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1308
8297132;14780154;1;32;kuorma-auto;1;puoliperävaunu;1;ammattimaisessa ajossa;1;8650
8296321;14780898;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1245
8296321;14782032;3;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8296321;14782119;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1141
8296257;14782384;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1128
8296717;14780342;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1239
8296717;14781090;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8296588;14780831;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;11;2020
8296588;14782481;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;7;1848
8296558;14780133;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1445
8296558;14781722;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1595
8296558;14781906;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1505
8297354;14780197;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1340
8297354;14781994;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1245
8297354;14782414;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1501
8296682;14780438;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8296682;14781496;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8296682;14781513;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;19;1559
8296436;14780738;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1695
8296436;14781686;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1360
8296503;14780480;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;23;1280
8296942;14780767;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1280
8296942;14782235;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1735
8297329;14781779;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1215
8296573;14780651;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8296573;14781374;2;43;muu moottorikäyttöinen ajoneuvo;-1;Ei arvoa;-1;Ei arvoa;8;
8296727;14780710;1;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;15;14000
8296727;14781371;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1269
8296984;14780960;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1495
8296984;14781393;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1274
8296631;14782325;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1700
8296631;14782442;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1605
8296255;14781264;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1294
8296255;14781359;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8296825;14782438;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8414095;14995623;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1245
8414095;14995624;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1335
8297209;14780532;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1375
8297209;14782239;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1523
8297053;14781092;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;6;104
8297053;14781622;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;;
8296587;14781520;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;5;1848
8296587;14781583;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1426
8296624;14780697;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1345
8296624;14781219;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;4;92
8296743;14780573;1;31;pakettiauto;3;kevytperävaunu;-1;Ei arvoa;8;2010
8413885;14995625;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;2690
8413885;14995626;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1475
8296972;14781096;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;12;2160
8296972;14781260;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8297123;14780796;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;25;270
8297123;14781043;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8296978;14780794;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1482
8296978;14781258;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;25;210
8296288;14780259;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1249
8296288;14780899;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8296143;14780392;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;1;92
8296143;14781137;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1735
8296116;14780810;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1726
8296116;14781251;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1653
8296645;14781561;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1190
8297002;14780757;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8297002;14780873;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1185
8297023;14780567;1;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;9;207
8297090;14781353;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;22;1190
8296259;14780300;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;21;3350
8296259;14781142;1;40;traktori;-1;Ei arvoa;-1;Ei arvoa;11;5950
8296922;14780540;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;;
8296922;14781190;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1340
8297110;14781503;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8297110;14782344;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1159
8414151;14995743;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;2075
8414151;14995744;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1705
8296876;14781713;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;3100
8296876;14781828;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8411440;14989959;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1378
8411385;14991156;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1665
8411441;14990041;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1345
8411441;14990152;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1770
8411445;14989398;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;26;1250
8411445;14989822;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1355
8411310;14989153;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1375
8411310;14989536;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1420
8411397;14989771;1;30;henkilöauto;4;matkailuvaunu;-1;Ei arvoa;9;1654
8411187;14990504;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1736
8411187;14991454;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;3;64
8411168;14990298;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;20;1790
8411168;14990622;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;9;113
8410955;14989220;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1320
8410955;14989613;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
