Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kulkusuun;Kulkussel;Ajoneuvika;Ajoneuvmas
9652291;17228918;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1280
9313194;16631233;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;18;1160
9314007;16631234;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1662
9314007;16631235;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;0;1320
9313032;16631236;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1595
9313032;16631237;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1361
9314008;16631238;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;11200
9314009;16631239;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1474
9314010;16631240;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1775
9652292;17228919;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1365
9314011;16631241;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1565
9314012;16631242;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;2;1355
9314012;16631243;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;14;14000
9313449;16631244;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1393
9313449;16631245;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1594
9314014;16631246;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1387
9314014;16631247;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1093
9314015;16631248;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;18;935
9314015;16631249;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1435
9314016;16631250;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1115
9314016;16631251;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1115
9314017;16631252;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;16;1396
9314017;16631253;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;10;1393
9314018;16631254;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;1595
9314018;16631255;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;12;1930
9314019;16631256;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;3;5700
9314019;16631257;2;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;1;1780
9314020;16631258;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9314021;16631259;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;9700
9314021;16631260;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;2775
9314022;16631261;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1130
9313744;16631262;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1245
9313744;16631263;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;1395
9313744;16631264;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1410
9314023;16631265;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;5;1585
9314023;16631266;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;10;12700
9313747;16631267;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;18;1193
9313747;16631268;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1700
9313748;16631269;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;16;1209
9333982;16667749;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1680
9333982;16667750;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;5;1475
9314025;16631270;1;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;12914
9314026;16631271;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1600
9314027;16631272;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1445
9314028;16631273;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1843
9314028;16631274;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9314029;16631275;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;0;1495
9314029;16631276;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1165
9313528;16631277;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;18;1235
9313529;16631278;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1496
9313529;16631279;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1735
9652302;17228920;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1815
9652302;17228921;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1735
9314030;16631280;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;16;910
9314030;16631281;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1157
9314031;16631282;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;14;1666
9314031;16631283;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1440
9314032;16631284;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;14;1229
9313649;16631285;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;17;1385
9313649;16631286;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;7;1505
9314033;16631287;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;1385
9314033;16631288;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1271
9314036;16631289;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1442
9314037;16631290;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1505
9313653;16631291;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;21;1125
9313653;16631292;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1830
9314038;16631293;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1468
9314038;16631294;2;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
