OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
620758;92fd2ab5dadab445bd8db1625c6fb9ba;1;Henkilöauto;Ei tietoa/arvoa;-;20;1235
620758;fd4fd9f75a608bd80c51f9617f88dfc1;2;Henkilöauto;Ei tietoa/arvoa;-;9;1602
620759;44ea3d0f93ea82f588b090f773171fb7;1;Henkilöauto;Ei tietoa/arvoa;-;21;1570
620760;7c2a1b362defbe810ac2186115aa8f44;2;Hirvi;Ei tietoa/arvoa;-;-;-
620760;003611a22d03d42bf060c4c3b4298903;1;Pakettiauto;Ei tietoa/arvoa;-;18;1870
620761;68a8379280e7612bbcc78e60f8df7a9b;1;Henkilöauto;Ei tietoa/arvoa;-;26;1660
620762;7c7fb090b11f48005e36229b2bb737f6;2;Henkilöauto;Ei tietoa/arvoa;-;6;1438
620762;e3ac0f79584cce09949e2517a3c44244;1;Linja-auto;Ei tietoa/arvoa;-;1;20383
620763;aae97f2cb5f622e23dec40e8bfc3cc80;1;Henkilöauto;Ei tietoa/arvoa;-;7;1163
620764;1eece9b5d8d8ffb2f4887c03f49ae024;1;Henkilöauto;Ei tietoa/arvoa;-;17;950
620765;5d3c1713f2d9c518ff5fac51444252d6;2;Kuorma-auto;Varsinainen;-;4;13649
620765;df0a3af08ee17853fce1457b26ccafda;1;Henkilöauto;Ei tietoa/arvoa;-;28;1180
620766;3d16796a39ce5b3a326d762beecbddd8;1;Henkilöauto;Ei tietoa/arvoa;-;27;860
